alert_date,location,category,item_name,current_stock,alert_type,days_until_stockout,resolved,priority
2025-11-05,City Hospital - Main,medicines,Paracetamol 500mg,253,LOW,8.43,False,MEDIUM
2025-11-06,City Hospital - Main,medicines,Paracetamol 500mg,244,LOW,27.11,False,MEDIUM
2025-11-07,City Hospital - Main,medicines,Paracetamol 500mg,232,LOW,19.33,False,MEDIUM
2025-11-08,City Hospital - Main,medicines,Paracetamol 500mg,198,LOW,5.82,False,MEDIUM
2025-12-29,City Hospital - Main,medicines,Paracetamol 500mg,266,LOW,10.64,False,MEDIUM
2025-12-30,City Hospital - Main,medicines,Paracetamol 500mg,257,LOW,28.56,False,MEDIUM
2025-12-31,City Hospital - Main,medicines,Paracetamol 500mg,240,LOW,14.12,False,MEDIUM
2026-01-01,City Hospital - Main,medicines,Paracetamol 500mg,215,LOW,8.6,False,MEDIUM
2026-01-02,City Hospital - Main,medicines,Paracetamol 500mg,192,LOW,8.35,False,MEDIUM
2025-11-06,City Hospital - Main,medicines,Amoxicillin 250mg,294,LOW,9.19,False,MEDIUM
2025-11-07,City Hospital - Main,medicines,Amoxicillin 250mg,288,LOW,48.0,False,MEDIUM
2025-11-08,City Hospital - Main,medicines,Amoxicillin 250mg,253,LOW,7.23,False,MEDIUM
2025-11-09,City Hospital - Main,medicines,Amoxicillin 250mg,244,LOW,27.11,False,MEDIUM
2025-11-10,City Hospital - Main,medicines,Amoxicillin 250mg,228,LOW,14.25,False,MEDIUM
2025-11-11,City Hospital - Main,medicines,Amoxicillin 250mg,207,LOW,9.86,False,MEDIUM
2025-10-23,City Hospital - Main,medicines,Ibuprofen 400mg,190,LOW,5.43,False,MEDIUM
2025-10-24,City Hospital - Main,medicines,Ibuprofen 400mg,153,LOW,4.14,False,MEDIUM
2025-11-27,City Hospital - Main,medicines,Ibuprofen 400mg,187,LOW,7.79,False,MEDIUM
2025-11-28,City Hospital - Main,medicines,Ibuprofen 400mg,168,LOW,8.84,False,MEDIUM
2025-11-29,City Hospital - Main,medicines,Ibuprofen 400mg,151,LOW,8.88,False,MEDIUM
2026-01-03,City Hospital - Main,medicines,Ibuprofen 400mg,173,LOW,4.94,False,MEDIUM
2025-10-31,City Hospital - Main,medicines,Aspirin 100mg,255,LOW,12.75,False,MEDIUM
2025-11-01,City Hospital - Main,medicines,Aspirin 100mg,237,LOW,13.17,False,MEDIUM
2025-11-02,City Hospital - Main,medicines,Aspirin 100mg,209,LOW,7.46,False,MEDIUM
2025-12-21,City Hospital - Main,medicines,Aspirin 100mg,260,LOW,15.29,False,MEDIUM
2025-12-22,City Hospital - Main,medicines,Aspirin 100mg,239,LOW,11.38,False,MEDIUM
2025-12-23,City Hospital - Main,medicines,Aspirin 100mg,225,LOW,16.07,False,MEDIUM
2025-12-24,City Hospital - Main,medicines,Aspirin 100mg,199,LOW,7.65,False,MEDIUM
2025-12-25,City Hospital - Main,medicines,Aspirin 100mg,186,LOW,14.31,False,MEDIUM
2025-10-22,City Hospital - Main,medicines,Metformin 500mg,151,LOW,6.57,False,MEDIUM
2025-10-23,City Hospital - Main,medicines,Metformin 500mg,132,LOW,6.95,False,MEDIUM
2025-11-26,City Hospital - Main,medicines,Metformin 500mg,161,LOW,10.06,False,MEDIUM
2025-11-27,City Hospital - Main,medicines,Metformin 500mg,132,LOW,4.55,False,MEDIUM
2025-11-28,City Hospital - Main,medicines,Metformin 500mg,118,LOW,8.43,False,MEDIUM
2025-11-29,City Hospital - Main,medicines,Metformin 500mg,112,LOW,18.67,False,MEDIUM
2025-12-30,City Hospital - Main,medicines,Metformin 500mg,158,LOW,6.58,False,MEDIUM
2025-12-31,City Hospital - Main,medicines,Metformin 500mg,152,LOW,25.33,False,MEDIUM
2026-01-01,City Hospital - Main,medicines,Metformin 500mg,121,LOW,3.9,False,MEDIUM
2025-10-29,City Hospital - Main,medicines,Omeprazole 20mg,234,LOW,9.0,False,MEDIUM
2025-10-30,City Hospital - Main,medicines,Omeprazole 20mg,228,LOW,38.0,False,MEDIUM
2025-10-31,City Hospital - Main,medicines,Omeprazole 20mg,200,LOW,7.14,False,MEDIUM
2025-11-01,City Hospital - Main,medicines,Omeprazole 20mg,179,LOW,8.52,False,MEDIUM
2025-11-02,City Hospital - Main,medicines,Omeprazole 20mg,164,LOW,10.93,False,MEDIUM
2025-12-14,City Hospital - Main,medicines,Omeprazole 20mg,231,LOW,28.88,False,MEDIUM
2025-12-15,City Hospital - Main,medicines,Omeprazole 20mg,200,LOW,6.45,False,MEDIUM
2025-12-16,City Hospital - Main,medicines,Omeprazole 20mg,179,LOW,8.52,False,MEDIUM
2025-10-18,City Hospital - Main,medicines,Ciprofloxacin 500mg,123,LOW,8.2,False,MEDIUM
2025-10-19,City Hospital - Main,medicines,Ciprofloxacin 500mg,106,LOW,6.24,False,MEDIUM
2025-10-20,City Hospital - Main,medicines,Ciprofloxacin 500mg,86,LOW,4.3,False,MEDIUM
2025-11-13,City Hospital - Main,medicines,Ciprofloxacin 500mg,127,LOW,5.08,False,MEDIUM
2025-11-14,City Hospital - Main,medicines,Ciprofloxacin 500mg,111,LOW,6.94,False,MEDIUM
2025-11-15,City Hospital - Main,medicines,Ciprofloxacin 500mg,94,LOW,5.53,False,MEDIUM
2025-12-11,City Hospital - Main,medicines,Ciprofloxacin 500mg,120,LOW,3.87,False,MEDIUM
2025-12-12,City Hospital - Main,medicines,Ciprofloxacin 500mg,100,LOW,5.0,False,MEDIUM
2025-11-03,City Hospital - Main,medicines,Azithromycin 500mg,260,LOW,10.83,False,MEDIUM
2025-11-04,City Hospital - Main,medicines,Azithromycin 500mg,241,LOW,12.68,False,MEDIUM
2025-11-05,City Hospital - Main,medicines,Azithromycin 500mg,228,LOW,17.54,False,MEDIUM
2025-11-06,City Hospital - Main,medicines,Azithromycin 500mg,208,LOW,10.4,False,MEDIUM
2025-11-07,City Hospital - Main,medicines,Azithromycin 500mg,181,LOW,6.7,False,MEDIUM
2025-12-25,City Hospital - Main,medicines,Azithromycin 500mg,250,LOW,12.5,False,MEDIUM
2025-12-26,City Hospital - Main,medicines,Azithromycin 500mg,229,LOW,10.9,False,MEDIUM
2025-12-27,City Hospital - Main,medicines,Azithromycin 500mg,214,LOW,14.27,False,MEDIUM
2025-12-28,City Hospital - Main,medicines,Azithromycin 500mg,185,LOW,6.38,False,MEDIUM
