SKU_ID,SKU_NAME,CATEGORY,ABC_CLASS,SUPPLIER_ID,SUPPLIER_NAME,WAREHOUSE_ID,WAREHOUSE_LOCATION,BATCH_ID,RECEIVED_DATE,LAST_PURCHASE_DATE,EXPIRY_DATE,AUDIT_DATE,STOCK_AGE_DAYS,QUANTITY_ON_HAND,QUANTITY_RESERVED,QUANTITY_COMMITTED,DAMAGED_QTY,RETURNS_QTY,AVG_DAILY_SALES,FORECAST_NEXT_30D,DAYS_OF_INVENTORY,SKU_CHURN_RATE,ORDER_FREQUENCY_PER_MONTH,REORDER_POINT,SAFETY_STOCK,LEAD_TIME_DAYS,UNIT_COST_USD,LAST_PURCHASE_PRICE_USD,TOTAL_INVENTORY_VALUE_USD,SUPPLIER_ONTIME_PCT,FIFO_FEFO,INVENTORY_STATUS,COUNT_VARIANCE,AUDIT_VARIANCE_PCT,DEMAND_FORECAST_ACCURACY_PCT,NOTES,UPLOAD_TIMESTAMP
SKU0001,Pantry Product 13,Pantry,A,S005,PT Agro Raya,WHBDG,Bandung - Rancaekek,BATCH2679,2025-07-14,2025-06-01,2027-04-25,2025-06-26,57,359.00,100.00,36.00,0.00,0.00,2857.00,971,1257.00,239.00,500.00,51.00,22.00,1,581.00,571.00,2.08,0.00,FIFO,In Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0002,Fresh Product 112,Fresh Produce,C,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH4257,2025-04-08,2025-02-22,2025-04-11,2025-08-12,154,314.00,64.00,0.00,0.00,1.00,3499.00,796,897.00,334.00,1200.00,744.00,254.00,14,145.00,133.00,45671.00,0.00,FEFO,Low Stock,4.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0003,Meat Product 446,Meat,B,S001,PT Segar Makmur,WHBDG,Bandung - Rancaekek,BATCH6574,2025-03-15,2025-02-26,2025-04-02,2025-08-13,178,485.00,28.00,62.00,3.00,1.00,3655.00,1,1327.00,226.00,1100.00,225.00,79.00,4,186.00,169.00,90263.00,0.00,FIFO,Expiring Soon,-5.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0004,Seafood Product 48,Seafood,A,S007,PT Bakerindo,WHJKT,Jakarta - Cengkareng,BATCH5333,2025-06-10,2025-04-20,2025-06-18,2025-07-13,91,281.00,92.00,49.00,0.00,0.00,2549.00,716,1102.00,272.00,1000.00,162.00,60.00,4,1450.00,1412.00,4.07,0.00,FIFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0005,Personal Product 194,Personal Care,A,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH6925,2025-06-26,2025-05-21,2030-01-03,2025-06-11,75,235.00,63.00,33.00,0.00,2.00,1705.00,518,1378.00,218.00,200.00,80.00,29.00,3,946.00,1031.00,2.22,0.00,FIFO,In Stock,-5.00,0.00,0.00,High return rate,2026-01-04T03:05:54Z
SKU0006,Beverages Product 41,Beverages,A,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH8428,2025-06-04,2025-04-25,2027-12-25,2025-08-20,97,446.00,66.00,31.00,1.00,1.00,3281.00,1,1359.00,221.00,700.00,349.00,119.00,7,516.00,586.00,2.30,0.00,FEFO,In Stock,-4.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0007,Dairy Product 137,Dairy,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH9751,2025-03-31,2025-02-13,2025-04-12,2025-08-20,162,368.00,87.00,118.00,0.00,0.00,5335.00,2,690.00,435.00,1300.00,169.00,62.00,2,213.00,236.00,78487.00,0.00,FIFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0008,Meat Product 474,Meat,C,S009,PT Beverage Nusantara,WHBDG,Bandung - Rancaekek,BATCH1916,2025-03-18,2025-03-04,2025-04-02,2025-07-31,175,135.00,73.00,32.00,0.00,1.00,2171.00,469,622.00,482.00,900.00,66.00,23.00,2,489.00,562.00,66064.00,0.00,FIFO,Expiring Soon,-5.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0009,Fresh Product 468,Fresh Produce,B,S010,PT DailyDairy,WHSBY,Surabaya - Sidoarjo,BATCH9179,2025-07-17,2025-06-22,2025-07-30,2025-08-22,54,1.00,126.00,83.00,0.00,0.00,7876.00,2,1487.00,202.00,2200.00,357.00,121.00,3,133.00,140.00,1.56,0.00,FEFO,Expiring Soon,1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0010,Meat Product 288,Meat,C,S009,PT Beverage Nusantara,WHSBY,Surabaya - Sidoarjo,BATCH7543,2025-04-13,2025-03-21,2025-05-01,2025-08-23,149,49.00,12.00,16.00,2.00,0.00,723.00,176,678.00,443.00,900.00,85.00,34.00,7,1134.00,1167.00,55545.00,0.00,FIFO,Low Stock,-3.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0011,Fresh Product 25,Fresh Produce,C,S002,PT Indo Fresh,WHBDG,Bandung - Rancaekek,BATCH7916,2025-04-02,2025-02-23,2025-04-07,2025-07-22,160,711.00,4.00,124.00,2.00,2.00,7551.00,3,942.00,319.00,2700.00,231.00,80.00,2,112.00,107.00,79561.00,0.00,FIFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0012,Personal Product 271,Personal Care,C,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH2876,2025-09-07,2025-07-26,2030-07-01,2025-06-19,2,66.00,16.00,12.00,1.00,0.00,686.00,179,962.00,312.00,500.00,73.00,25.00,7,685.00,715.00,45213.00,0.00,FEFO,Low Stock,2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0013,Meat Product 81,Meat,C,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH3927,2025-07-04,2025-06-02,2025-07-25,2025-06-21,67,443.00,71.00,24.00,0.00,1.00,3728.00,1,1188.00,252.00,900.00,394.00,133.00,7,166.00,157.00,73640.00,0.00,FIFO,Expiring Soon,-4.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0014,Pantry Product 312,Pantry,B,S004,PT Nusantara Supplier,WHBDG,Bandung - Rancaekek,BATCH9837,2025-06-06,2025-04-18,2027-05-02,2025-06-25,95,130.00,71.00,51.00,0.00,0.00,2121.00,784,613.00,489.00,1000.00,231.00,83.00,7,1119.00,1178.00,1.45,0.00,FIFO,Low Stock,-1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0015,Fresh Product 476,Fresh Produce,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH4946,2025-07-10,2025-05-15,2025-07-13,2025-08-30,61,231.00,81.00,42.00,0.00,0.00,2950.00,850,783.00,383.00,800.00,314.00,107.00,7,148.00,149.00,34225.00,0.00,FIFO,Low Stock,1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0016,Household Product 390,Household,C,S009,PT Beverage Nusantara,WHBDG,Bandung - Rancaekek,BATCH8787,2025-08-08,2025-06-09,2030-04-20,2025-08-07,32,47.00,11.00,16.00,0.00,0.00,447.00,101,1051.00,285.00,200.00,27.00,14.00,3,233.00,213.00,10953.00,0.00,FIFO,In Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0017,Pantry Product 494,Pantry,A,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH6107,2025-03-17,2025-02-20,2027-05-02,2025-07-15,176,197.00,2.00,26.00,0.00,4.00,2440.00,889,807.00,372.00,400.00,370.00,126.00,10,1152.00,1050.00,2.27,0.00,FEFO,Low Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0018,Frozen Product 127,Frozen,A,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH4770,2025-06-15,2025-05-09,2025-12-17,2025-09-09,86,484.00,22.00,107.00,0.00,0.00,2962.00,736,1634.00,184.00,1000.00,447.00,151.00,10,758.00,838.00,3.67,0.00,FIFO,In Stock,-5.00,0.00,0.00,Seasonal SKU,2026-01-04T03:05:54Z
